Name,Financial Year,Month,All India Total ,All India Public ,All India Private,All India Urban ,All India Rural,A & N IslandsTotal ,A & N Islands Public [A],A & N Islands Private [B],A & N Islands Urban [C],A & N Islands Rural [D],Andhra Pradesh Total [(A+B) or (C+D)],Andhra Pradesh Public [A],Andhra Pradesh Private [B],Andhra Pradesh Urban [C],Andhra Pradesh Rural [D],Arunachal Pradesh Total [(A+B) or (C+D)],Arunachal Pradesh Public [A],Arunachal PradeshPrivate [B],Arunachal Pradesh Urban [C],Arunachal Pradesh Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
Ayush - Outpatient attendance,2019-2020,march,8609362,8535233,74129,1185437,7423925,7940,7940,,0,7940,193782,193782,0,33165,160617,10918,10918,0,473,10445,227228,224602,2626,7104,220124,628402,628402,0,79898,548504,14026,14026,,12935,1091,99690,90940,8750,9845,89845,11042,11042,,0,11042,8045,8045,0,0,8045,224595,221862,2733,135068,89527,8833,8833,0,777,8056,259873,259873,0,29596,230277,142268,142268,0,7621,134647,0,0,0,0,0,156744,156744,0,7326,149418,32740,32617,123,730,32010,399094,360012,39082,65547,333547,49010,48517,493,157,48853,7201,7201,,,7201,,,,,,,,,,,306844,288917,17927,47836,259008,454091,453463,628,124492,329599,7371,7371,,92,7279,23078,23078,0,136,22942,3203,3203,0,466,2737,2440,2440,,,2440,594854,594128,726,11304,583550,43582,43582,0,20445,23137,152637,152637,0,14461,138176,267213,266465,748,47778,219435,964,964,,,964,2273308,2273308,,446726,1826582,148004,148004,0,29654,118350,22877,22877,0,4730,18147,1558869,1558576,293,12118,1546751,68562,68562,,17063,51499,200034,200034,0,17894,182140
Inpatient (Male)- Children<18yrs,2019-2020,march,643595,588431,55164,105970,537625,471,471,,0,471,24045,24045,0,5565,18480,422,365,57,4,418,8843,7039,1804,615,8228,40278,39924,354,2676,37602,2524,2524,,352,2172,12503,8457,4046,3097,9406,741,741,,0,741,202,202,0,1,201,16956,13063,3893,1378,15578,604,604,0,0,604,38456,38049,407,2934,35522,10673,10673,0,256,10417,5941,5907,34,0,5941,12484,12446,38,43,12441,4520,3807,713,617,3903,42194,30436,11758,12663,29531,28651,7568,21083,2592,26059,73,73,,,73,,,,,,,,,,,38072,33130,4942,8590,29482,48486,48303,183,9365,39121,553,409,144,136,417,3002,1888,1114,0,3002,936,618,318,265,671,747,553,194,193,554,37254,35494,1760,983,36271,492,480,12,15,477,6212,6057,155,982,5230,56337,55683,654,17004,39333,226,226,,,226,59261,59261,,10790,48471,13202,12644,558,3708,9494,2769,2745,24,111,2658,71364,70714,650,3320,68044,2651,2645,6,826,1825,51450,51187,263,16889,34561
Inpatient (Male)- Adults,2019-2020,march,1601093,1438943,162150,269616,1331477,1284,1284,,0,1284,86475,86475,0,19728,66747,1281,998,283,2,1279,30930,24529,6401,1797,29133,46660,45725,935,1975,44685,4927,4927,,134,4793,32265,27517,4748,3834,28431,1375,1375,,0,1375,308,308,0,2,306,40585,17631,22954,5875,34710,1930,1923,7,7,1923,83140,81174,1966,7240,75900,14214,14214,0,190,14024,11148,10987,161,0,11148,23969,23462,507,693,23276,13311,11791,1520,1144,12167,174890,135350,39540,45744,129146,78469,27329,51140,11998,66471,117,117,,,117,,,,,,,,,,,116720,102308,14412,21719,95001,115361,113747,1614,20503,94858,1431,577,854,828,603,4258,2803,1455,0,4258,1776,1171,605,407,1369,2248,1344,904,808,1440,83557,76133,7424,918,82639,1142,1074,68,82,1060,16046,16035,11,3146,12900,93265,92352,913,25835,67430,581,581,,,581,202829,202829,,40667,162162,45167,43479,1688,11518,33649,9648,9381,267,855,8793,126040,125855,185,2576,123464,4237,4209,28,1244,2993,129509,127949,1560,38147,91362
Inpatient (Female)- Children<18yrs,2019-2020,march,572698,520017,52681,93020,479678,397,397,,0,397,19103,19103,0,5155,13948,459,413,46,1,458,7867,5858,2009,586,7281,39298,39118,180,2615,36683,1911,1911,,313,1598,10294,7584,2710,1880,8414,597,597,,0,597,181,181,0,1,180,13081,10271,2810,1194,11887,403,382,21,21,382,33777,33456,321,2939,30838,11276,11276,0,231,11045,5725,5669,56,0,5725,12282,12140,142,157,12125,3603,3016,587,487,3116,39330,29777,9553,10774,28556,31865,6599,25266,2351,29514,58,58,,,58,,,,,,,,,,,33022,28727,4295,7379,25643,44401,44285,116,8109,36292,467,372,95,88,379,2771,1725,1046,0,2771,914,604,310,241,673,592,393,199,197,395,31485,30397,1088,709,30776,463,449,14,24,439,5477,5374,103,857,4620,49995,49612,383,13213,36782,199,199,,,199,47892,47892,,10852,37040,12180,11742,438,2755,9425,2131,2096,35,106,2025,55857,55270,587,2153,53704,2432,2427,5,952,1480,50913,50647,266,16680,34233
Inpatient (Female)- Adults,2019-2020,march,2761780,2558743,203037,430855,2330925,1478,1478,,0,1478,124572,124572,0,26354,98218,2422,2095,327,1,2421,61877,52306,9571,3591,58286,141705,139934,1771,8883,132822,6066,6066,,1043,5023,56382,51009,5373,4996,51386,2369,2369,,0,2369,627,627,0,0,627,52264,29248,23016,9380,42884,2675,2675,0,0,2675,160729,158668,2061,14478,146251,49130,49130,0,882,48248,22773,22366,407,0,22773,39466,38442,1024,1899,37567,33133,30293,2840,1989,31144,248240,202728,45512,58979,189261,100691,37574,63117,14746,85945,230,230,,,230,,,,,,,,,,,210567,195850,14717,35124,175443,197499,195878,1621,39488,158011,2566,1355,1211,1003,1563,10715,7194,3521,0,10715,2471,1631,840,583,1888,2660,1701,959,841,1819,133257,121439,11818,1805,131452,2395,2128,267,358,2037,29157,28170,987,5657,23500,176296,174133,2163,47150,129146,1024,1024,,,1024,299687,299687,,66105,233582,70008,69053,955,17342,52666,13627,13228,399,1319,12308,296622,290908,5714,5774,290848,10551,10483,68,3441,7110,195849,193071,2778,57644,138205
Number of Left Against Medical Advice (LAMA) cases,2019-2020,march,159045,155185,3860,31130,127915,123,123,,0,123,4054,4054,0,909,3145,25,24,1,0,25,4079,3954,125,10,4069,2576,2559,17,111,2465,525,525,,22,503,3822,3713,109,102,3720,88,88,,0,88,101,101,0,0,101,2044,1191,853,219,1825,295,295,0,0,295,9066,8943,123,1895,7171,3429,3429,0,66,3363,346,342,4,0,346,296,261,35,35,261,1768,1739,29,25,1743,11118,9834,1284,2170,8948,2620,2066,554,125,2495,4,4,,,4,,,,,,,,,,,18501,18057,444,5048,13453,12505,12496,9,2780,9725,15,15,,,15,214,155,59,0,214,17,10,7,7,10,18,18,0,0,18,11712,11587,125,100,11612,427,427,0,0,427,3059,3059,0,731,2328,4487,4487,0,1496,2991,22,22,,,22,3475,3475,,593,2882,2640,2640,0,958,1682,2343,2316,27,215,2128,18853,18818,35,19,18834,966,964,2,194,772,33412,33394,18,13300,20112
Inpatient - Malaria,2019-2020,march,13527,12909,618,918,12609,12,12,,0,12,272,272,0,47,225,0,0,0,0,0,118,118,0,0,118,102,102,0,0,102,1,1,,0,1,1581,1411,170,95,1486,8,8,,0,8,2,2,0,0,2,96,4,92,88,8,35,35,0,0,35,2693,2683,10,214,2479,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,226,195,31,2,224,834,825,9,9,825,18,9,9,1,17,1,1,,,1,,,,,,,,,,,715,483,232,224,491,469,461,8,121,348,0,0,,,0,1,1,0,0,1,11,9,2,0,11,0,0,0,0,0,2963,2920,43,0,2963,0,0,0,0,0,14,14,0,0,14,499,499,0,87,412,0,0,,,0,134,134,,0,134,31,31,0,5,26,21,21,0,0,21,2609,2597,12,15,2594,2,2,,2,0,58,58,0,8,50
Inpatient - Dengue,2019-2020,march,2826,2399,427,610,2216,9,9,,0,9,309,309,0,11,298,0,0,0,0,0,4,1,3,3,1,125,125,0,0,125,4,4,,0,4,1,1,0,0,1,8,8,,0,8,7,7,0,0,7,28,10,18,15,13,35,35,0,0,35,185,176,9,50,135,0,0,0,0,0,1,1,0,0,1,103,103,0,0,103,6,1,5,5,1,677,429,248,243,434,219,123,96,28,191,6,6,,,6,,,,,,,,,,,56,17,39,16,40,306,303,3,153,153,0,0,0,0,0,3,3,0,0,3,1,1,0,0,1,2,1,1,1,1,19,15,4,0,19,12,12,0,0,12,0,0,0,0,0,32,32,0,23,9,4,4,,,4,466,466,,19,447,67,67,0,26,41,1,1,0,0,1,77,77,0,1,76,10,10,,0,10,43,42,1,16,27
Inpatient - Typhoid,2019-2020,march,32485,30619,1866,5632,26853,12,12,,0,12,1368,1368,0,345,1023,26,24,2,0,26,170,129,41,7,163,265,265,0,8,257,43,43,,13,30,1540,1520,20,18,1522,18,18,,0,18,14,14,0,0,14,728,95,633,381,347,10,10,0,0,10,1288,1234,54,285,1003,170,170,0,1,169,149,149,0,0,149,288,288,0,0,288,435,336,99,0,435,6894,6581,313,652,6242,88,53,35,13,75,1,1,,,1,,,,,,,,,,,1360,877,483,498,862,4879,4875,4,1739,3140,9,7,2,0,9,149,135,14,0,149,29,18,11,0,29,57,47,10,8,49,1561,1539,22,20,1541,15,15,0,0,15,241,241,0,44,197,1672,1657,15,316,1356,45,45,,,45,896,896,,467,429,1356,1356,0,399,957,133,133,0,10,123,5737,5629,108,207,5530,203,203,,70,133,636,636,0,131,505
"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",2019-2020,march,137689,127654,10035,23906,113783,126,126,,0,126,9364,9364,0,1745,7619,64,48,16,0,64,1604,1288,316,41,1563,1018,908,110,51,967,126,126,,9,117,1637,1519,118,2,1635,45,45,,0,45,37,37,0,0,37,2513,523,1990,656,1857,367,367,0,0,367,4292,4225,67,514,3778,1321,1321,0,33,1288,1925,1915,10,0,1925,2024,2024,0,0,2024,639,512,127,58,581,15188,12998,2190,2318,12870,6089,4131,1958,611,5478,31,31,,,31,,,,,,,,,,,7493,5049,2444,2236,5257,5142,5076,66,1255,3887,59,53,6,6,53,782,473,309,0,782,277,235,42,51,226,98,80,18,18,80,7047,6857,190,54,6993,339,338,1,6,333,1216,1216,0,249,967,15459,15459,0,3986,11473,160,160,,,160,5413,5413,,2080,3333,2068,2068,0,702,1366,1378,1378,0,69,1309,23213,23166,47,248,22965,554,550,4,173,381,18581,18575,6,6735,11846
Inpatient - Tuberculosis,2019-2020,march,23819,22534,1285,3481,20338,10,10,,0,10,1029,1029,0,96,933,34,14,20,0,34,462,312,150,7,455,258,246,12,1,257,66,66,,2,64,288,282,6,0,288,24,24,,0,24,16,16,0,0,16,461,113,348,100,361,18,18,0,0,18,921,879,42,83,838,285,285,0,1,284,177,177,0,0,177,32,32,0,0,32,130,100,30,24,106,7823,7665,158,109,7714,139,103,36,13,126,0,0,,,0,,,,,,,,,,,1992,1656,336,179,1813,1439,1407,32,657,782,0,0,0,0,0,111,55,56,0,111,24,20,4,2,22,35,21,14,14,21,577,547,30,4,573,19,19,0,0,19,306,306,0,39,267,2370,2370,0,1601,769,13,13,,,13,1073,1073,,148,925,314,314,0,55,259,7,7,0,3,4,2440,2429,11,12,2428,197,197,,33,164,729,729,0,298,431
Inpatient - Pyrexia of unknown origin (PUO),2019-2020,march,156460,152939,3521,27704,128756,78,78,,0,78,7304,7304,0,1720,5584,90,70,20,2,88,1026,783,243,36,990,469,456,13,17,452,209,209,,80,129,2532,2506,26,35,2497,74,74,,0,74,37,37,0,0,37,889,190,699,246,643,184,184,0,0,184,7057,6946,111,1338,5719,2343,2343,0,44,2299,1120,1119,1,0,1120,1783,1783,0,1,1782,392,257,135,30,362,18981,17979,1002,1612,17369,1143,597,546,85,1058,2,2,,,2,,,,,,,,,,,8739,8127,612,2620,6119,14291,14269,22,4892,9399,71,71,0,0,71,238,230,8,0,238,86,69,17,12,74,65,59,6,3,62,4776,4743,33,94,4682,77,54,23,23,54,1640,1640,0,284,1356,30889,30889,0,5056,25833,40,40,,,40,8385,8385,,4354,4031,5537,5537,0,1931,3606,2022,2022,0,109,1913,25617,25616,1,109,25508,1766,1766,,1508,258,6508,6505,3,1463,5045
Inpatient - Diarrhea with dehydration,2019-2020,march,176884,172538,4346,31966,144918,22,22,,0,22,15237,15237,0,3803,11434,142,128,14,0,142,2298,2051,247,46,2252,2733,2661,72,57,2676,69,69,,18,51,5500,5397,103,125,5375,213,213,,0,213,90,90,0,0,90,1116,225,891,359,757,165,165,0,0,165,7238,7187,51,1129,6109,691,691,0,22,669,852,849,3,0,852,3311,3311,0,60,3251,1493,1325,168,68,1425,20748,19535,1213,1793,18955,970,493,477,70,900,11,11,,,11,,,,,,,,,,,12006,11376,630,3150,8856,9906,9906,0,2909,6997,285,284,1,1,284,1120,905,215,0,1120,183,145,38,18,165,155,116,39,38,117,18367,18269,98,526,17841,200,189,11,20,180,945,945,0,211,734,10147,10147,0,1713,8434,112,112,,,112,5637,5637,,2683,2954,7694,7694,0,2694,5000,1987,1987,0,218,1769,15389,15319,70,375,15014,550,550,,372,178,29302,29297,5,9488,19814
Inpatient - Hepatitis,2019-2020,march,11288,8488,2800,1372,9916,2,2,,0,2,627,627,0,114,513,36,6,30,0,36,83,59,24,3,80,38,29,9,0,38,32,32,,5,27,259,248,11,0,259,10,10,,0,10,12,12,0,0,12,236,99,137,98,138,3,3,0,0,3,3298,1260,2038,80,3218,17,17,0,2,15,76,76,0,0,76,70,70,0,0,70,27,15,12,19,8,996,857,139,116,880,211,145,66,22,189,1,1,,,1,,,,,,,,,,,557,317,240,225,332,508,508,0,236,272,2,0,2,2,0,67,31,36,0,67,110,107,3,1,109,18,4,14,14,4,187,170,17,2,185,8,8,0,0,8,156,155,1,14,142,340,340,0,179,161,1,1,,,1,492,492,,22,470,257,257,0,114,143,74,74,0,0,74,1138,1118,20,20,1118,41,41,,4,37,1298,1297,1,80,1218
Patients registered at Emergency Department,2019-2020,march,4430522,4258993,171529,922831,3507691,2908,2908,,,2908,148427,148427,0,31067,117360,16165,10841,5324,,16165,102979,101756,1223,619,102360,103897,101972,1925,4524,99373,16626,16626,,5063,11563,26580,26474,106,127,26453,8167,8167,,,8167,2660,2660,0,0,2660,358954,318387,40567,20214,338740,27456,27456,0,,27456,75500,74126,1374,13627,61873,85344,85344,0,850,84494,66607,65483,1124,0,66607,94480,93283,1197,5078,89402,42522,41795,727,425,42097,142060,117582,24478,22177,119883,420960,348571,72389,90471,330489,6841,6841,,,6841,,,,,,,,,,,124515,118085,6430,20727,103788,286410,286410,0,127424,158986,17165,16793,372,372,16793,17580,13464,4116,,17580,9313,8279,1034,835,8478,8751,6664,2087,2080,6671,280530,277326,3204,1560,278970,31831,31831,0,0,31831,79318,79318,0,16013,63305,62865,62865,0,21144,41721,4956,4956,,,4956,495096,495096,,247943,247153,65976,65976,0,33100,32876,33185,32855,330,6210,26975,282612,282462,150,150,282462,40666,40625,41,14947,25719,840620,837289,3331,236084,604536
"Emergency - Trauma ( accident, injury, poisoning etc)",2019-2020,march,329757,316346,13411,58560,271197,48,48,,,48,13133,13133,0,2603,10530,2644,2644,,,2644,11881,11722,159,296,11585,8120,8120,0,453,7667,600,600,,0,600,5917,5582,335,308,5609,612,612,,,612,32,32,0,0,32,6514,5346,1168,542,5972,1806,1806,0,,1806,15921,15832,89,1857,14064,7233,7233,0,109,7124,2135,2091,44,0,2135,2413,2367,46,56,2357,7345,7211,134,85,7260,26095,22886,3209,4103,21992,14743,8140,6603,4202,10541,4,4,,,4,,,,,,,,,,,16581,15982,599,2607,13974,19538,19538,0,5865,13673,757,608,149,149,608,1831,1751,80,,1831,394,385,9,0,394,570,404,166,161,409,18098,17538,560,311,17787,3409,3409,0,0,3409,4601,4601,0,1138,3463,15501,15501,0,3894,11607,367,367,,,367,51131,51131,,17436,33695,8298,8298,0,4127,4171,1574,1555,19,180,1394,26320,26310,10,0,26320,3365,3365,0,462,2903,30226,30194,32,7616,22610
Emergency - Burn,2019-2020,march,10187,9743,444,1731,8456,4,4,,,4,312,312,0,61,251,25,25,,,25,276,270,6,5,271,189,189,0,2,187,4,4,,0,4,249,246,3,15,234,28,28,,,28,0,0,0,0,0,376,350,26,28,348,19,19,0,,19,340,336,4,33,307,147,147,0,3,144,137,135,2,0,137,172,160,12,12,160,146,141,5,3,143,715,579,136,132,583,448,258,190,84,364,0,0,,,0,,,,,,,,,,,731,696,35,104,627,640,640,0,150,490,22,22,0,0,22,22,13,9,,22,17,17,0,0,17,28,18,10,10,18,561,556,5,11,550,4,4,0,0,4,225,225,0,19,206,621,621,0,174,447,22,22,,,22,574,574,,112,462,201,201,0,103,98,45,45,0,10,35,1013,1012,1,0,1013,346,346,0,322,24,1528,1528,0,338,1190
Emergency - Obstetrics complications,2019-2020,march,81565,79614,1951,18429,63136,94,94,,,94,2389,2389,0,520,1869,123,123,,,123,2377,2327,50,54,2323,1136,1136,0,8,1128,907,907,,74,833,711,677,34,0,711,4,4,,,4,0,0,0,0,0,1250,787,463,123,1127,167,167,0,,167,1471,1470,1,75,1396,1598,1598,0,17,1581,655,553,102,0,655,747,710,37,37,710,568,551,17,2,566,3196,2929,267,280,2916,447,235,212,110,337,20,20,,,20,,,,,,,,,,,4896,4677,219,676,4220,8459,8459,0,1735,6724,800,798,2,2,798,323,203,120,,323,46,46,0,0,46,47,26,21,21,26,2575,2451,124,15,2560,73,73,0,0,73,1639,1639,0,245,1394,4672,4672,0,3541,1131,7,7,,,7,17758,17758,,6729,11029,916,916,0,373,543,253,241,12,0,253,6224,6224,0,0,6224,197,192,5,29,168,14820,14555,265,3763,11057
Emergency - Snake Bite,2019-2020,march,13104,12911,193,2367,10737,9,9,,,9,951,951,0,295,656,4,4,,,4,152,142,10,0,152,85,85,0,0,85,2,2,,0,2,298,292,6,0,298,17,17,,,17,2,2,0,0,2,5,5,0,0,5,38,38,0,,38,305,305,0,12,293,21,21,0,0,21,11,11,0,0,11,32,32,0,0,32,56,56,0,0,56,983,927,56,94,889,392,295,97,56,336,0,0,,,0,,,,,,,,,,,307,296,11,31,276,1986,1986,0,436,1550,4,4,0,0,4,5,3,2,,5,1,1,0,0,1,6,1,5,5,1,994,988,6,11,983,64,64,0,0,64,33,33,0,7,26,353,353,0,91,262,3,3,,,3,1748,1748,,611,1137,749,749,0,236,513,19,19,0,3,16,1769,1769,0,0,1769,1,1,0,1,0,1699,1699,0,478,1221
Emergency - Acute Caridiac Emergencies,2019-2020,march,39590,35765,3825,6083,33507,31,31,,,31,1402,1402,0,163,1239,5,5,,,5,350,342,8,4,346,342,337,5,0,342,33,33,,0,33,347,314,33,0,347,25,25,,,25,11,11,0,0,11,4391,3410,981,205,4186,124,124,0,,124,2060,1963,97,48,2012,613,613,0,1,612,320,320,0,0,320,150,143,7,7,143,129,101,28,24,105,5016,4185,831,857,4159,2976,1820,1156,662,2314,2,2,,,2,,,,,,,,,,,1735,1387,348,559,1176,1894,1894,0,348,1546,4,4,0,0,4,23,14,9,,23,2,2,0,0,2,34,7,27,27,7,743,615,128,4,739,35,35,0,0,35,453,453,0,43,410,1489,1489,0,570,919,4,4,,,4,4963,4963,,833,4130,429,429,0,110,319,88,39,49,0,88,2488,2488,0,0,2488,698,698,0,473,225,6181,6063,118,1145,5036
Emergency - CVA ( Cerebovascular Disease),2019-2020,march,27332,25258,2074,4690,22642,33,33,,,33,2054,2054,0,97,1957,15,15,,,15,679,619,60,10,669,233,221,12,0,233,44,44,,0,44,270,255,15,0,270,27,27,,,27,17,17,0,0,17,644,259,385,109,535,32,32,0,,32,502,438,64,10,492,242,242,0,4,238,128,128,0,0,128,88,88,0,0,88,138,106,32,28,110,2102,1508,594,615,1487,951,491,460,184,767,4,4,,,4,,,,,,,,,,,1093,859,234,314,779,945,945,0,115,830,7,0,7,7,0,31,19,12,,31,21,21,0,0,21,62,15,47,47,15,1912,1810,102,20,1892,43,43,0,0,43,204,204,0,40,164,1210,1210,0,720,490,14,14,,,14,4180,4180,,427,3753,453,453,0,140,313,129,122,7,11,118,2529,2529,0,0,2529,227,227,0,108,119,6069,6026,43,1684,4385
Number of deaths occurring at Emergency Department,2019-2020,march,10887,10471,416,1463,9424,3,3,,,3,572,572,0,132,440,0,0,,,0,53,53,0,0,53,271,250,21,0,271,195,195,,0,195,304,301,3,0,304,0,0,,,0,1,1,0,0,1,555,509,46,21,534,17,17,0,,17,585,583,2,39,546,876,876,0,0,876,107,98,9,0,107,56,55,1,1,55,236,236,0,0,236,914,760,154,178,736,202,88,114,29,173,0,0,,,0,,,,,,,,,,,616,572,44,103,513,645,645,0,180,465,14,8,6,6,8,14,13,1,,14,5,5,0,0,5,8,4,4,4,4,356,346,10,1,355,8,8,0,0,8,559,559,0,31,528,359,359,0,227,132,18,18,,,18,1023,1023,,173,850,447,447,0,161,286,73,73,0,0,73,1494,1494,0,0,1494,25,25,0,14,11,276,275,1,163,113
Operation major (General and spinal anaesthesia),2019-2020,march,383818,324505,59313,61884,321934,129,129,,0,129,11098,11098,0,1785,9313,595,431,164,0,595,3902,2942,960,647,3255,18793,17713,1080,921,17872,4175,4175,,26,4149,2590,1578,1012,845,1745,347,347,,0,347,187,187,0,0,187,20964,10552,10412,3038,17926,443,440,3,3,440,8869,8399,470,825,8044,4080,4080,0,34,4046,2899,2859,40,0,2899,10365,8993,1372,1598,8767,8360,7479,881,735,7625,28746,17307,11439,10555,18191,24198,7923,16275,3672,20526,39,39,,,39,,,,,,,,,,,10788,5590,5198,3603,7185,20447,20036,411,4665,15782,672,120,552,507,165,1062,608,454,,1062,1033,737,296,235,798,715,274,441,408,307,10378,4857,5521,120,10258,255,220,35,35,220,6120,6107,13,1068,5052,17456,17382,74,10931,6525,50,50,,,50,109887,109887,,6237,103650,5549,5549,0,2346,3203,1723,1219,504,416,1307,25796,25624,172,178,25618,1352,1315,37,703,649,19756,18259,1497,5748,14008
"Out of Operation major, Gynecology- Hysterectomy surgeries",2019-2020,march,32461,25990,6471,6550,25911,10,10,,0,10,1238,1238,0,279,959,49,33,16,0,49,797,461,336,204,593,900,815,85,42,858,45,45,,3,42,187,105,82,49,138,14,14,,0,14,8,8,0,0,8,1569,674,895,256,1313,3,3,0,0,3,1630,1497,133,217,1413,275,275,0,1,274,170,168,2,0,170,1330,1145,185,185,1145,3482,3400,82,78,3404,3828,2615,1213,1206,2622,3124,1560,1564,719,2405,12,12,,,12,,,,,,,,,,,1170,750,420,391,779,1944,1921,23,613,1331,91,73,18,15,76,16,0,16,,16,53,30,23,3,50,153,77,76,73,80,1405,563,842,9,1396,16,12,4,4,12,388,387,1,68,320,1952,1930,22,946,1006,11,11,,2,9,461,461,,169,292,413,413,0,360,53,340,81,259,259,81,4298,4277,21,6,4292,63,56,7,10,53,1016,870,146,383,633
"Major Surgeries excluding Obstetrics, Gynaecology and Opthalmology etc.",2019-2020,march,63043,57258,5785,121,62922,90,90,,,90,4162,4162,,,4162,224,191,33,,224,936,936,,,936,1160,653,507,,1160,3483,3483,,,3483,548,548,,,548,277,277,,,277,98,98,,,98,7902,3460,4442,,7902,90,90,,,90,2700,2467,233,121,2579,1565,1565,,,1565,924,924,,,924,1767,1767,,,1767,50,50,,,50,6412,6106,306,,6412,1785,1785,,,1785,2,2,,,2,,,,,,,,,,,1482,1482,,,1482,3785,3785,0,,3785,74,74,,,74,495,286,209,,495,478,478,,,478,104,102,2,,104,1132,1132,,,1132,46,46,,,46,1746,1746,,,1746,1907,1907,,,1907,0,0,,,0,2271,2271,,,2271,417,417,,,417,926,873,53,,926,8629,8629,,,8629,111,111,,,111,5265,5265,0,,5265
Operation minor (No or local anaesthesia),2019-2020,march,960349,914479,45870,179031,781318,84,84,,0,84,85788,85788,0,22345,63443,1222,1180,42,13,1209,4294,3915,379,125,4169,75047,74332,715,3509,71538,12478,12478,,495,11983,7103,5979,1124,975,6128,643,643,,0,643,96,96,0,0,96,49052,43274,5778,4103,44949,1154,1151,3,4,1150,33015,32503,512,4390,28625,8485,8485,0,99,8386,9702,9503,199,0,9702,44003,43606,397,1057,42946,7919,6866,1053,938,6981,38700,30472,8228,9126,29574,50942,39107,11835,8276,42666,728,728,,,728,,,,,,,,,,,31717,23773,7944,7403,24314,34498,34108,390,6731,27767,1752,1408,344,294,1458,1743,1528,215,0,1743,1652,1349,303,302,1350,1870,1395,475,417,1453,103625,98899,4726,10647,92978,4882,4788,94,1973,2909,15600,15570,30,2644,12956,55968,55418,550,23798,32170,1106,1106,,,1106,187053,187053,,53399,133654,17328,17328,0,6282,11046,3753,3665,88,342,3411,32309,32264,45,622,31687,1265,1255,10,528,737,33773,33382,391,8194,25579
Number of post operative Surgical Site infection,2019-2020,march,1390,1289,101,3,1387,0,0,,,0,93,93,,,93,4,4,0,,4,15,15,,,15,16,16,0,,16,20,20,,,20,9,9,,,9,8,8,,,8,0,0,,,0,60,52,8,,60,6,6,,,6,37,36,1,3,34,21,21,,,21,2,2,,,2,78,78,,,78,4,4,,,4,287,197,90,,287,5,5,,,5,0,0,,,0,,,,,,,,,,,63,63,,,63,191,191,0,,191,2,2,,,2,14,12,2,,14,3,3,,,3,3,3,0,,3,25,25,,,25,1,1,,,1,11,11,,,11,20,20,,,20,0,0,,,0,18,18,,,18,27,27,,,27,0,0,,,0,266,266,,,266,6,6,,,6,75,75,,,75
